2020-02-12 10:40:56.716 DEBUG 12320 --- [main] o.m.s.mapper.ClassPathMapperScanner      : Identified candidate component class: file [E:\JavaProjects\SpringBootProject\community\target\classes\cn\mycz\community\mapper\CommentMapper.class]
2020-02-12 10:40:56.717 DEBUG 12320 --- [main] o.m.s.mapper.ClassPathMapperScanner      : Identified candidate component class: file [E:\JavaProjects\SpringBootProject\community\target\classes\cn\mycz\community\mapper\NotificationMapper.class]
2020-02-12 10:40:56.718 DEBUG 12320 --- [main] o.m.s.mapper.ClassPathMapperScanner      : Identified candidate component class: file [E:\JavaProjects\SpringBootProject\community\target\classes\cn\mycz\community\mapper\QuestionExtMapper.class]
2020-02-12 10:40:56.718 DEBUG 12320 --- [main] o.m.s.mapper.ClassPathMapperScanner      : Identified candidate component class: file [E:\JavaProjects\SpringBootProject\community\target\classes\cn\mycz\community\mapper\QuestionMapper.class]
2020-02-12 10:40:56.719 DEBUG 12320 --- [main] o.m.s.mapper.ClassPathMapperScanner      : Identified candidate component class: file [E:\JavaProjects\SpringBootProject\community\target\classes\cn\mycz\community\mapper\UserMapper.class]
2020-02-12 10:40:56.720 DEBUG 12320 --- [main] o.m.s.mapper.ClassPathMapperScanner      : Creating MapperFactoryBean with name 'commentMapper' and 'cn.mycz.community.mapper.CommentMapper' mapperInterface
2020-02-12 10:40:56.721 DEBUG 12320 --- [main] o.m.s.mapper.ClassPathMapperScanner      : Enabling autowire by type for MapperFactoryBean with name 'commentMapper'.
2020-02-12 10:40:56.722 DEBUG 12320 --- [main] o.m.s.mapper.ClassPathMapperScanner      : Creating MapperFactoryBean with name 'notificationMapper' and 'cn.mycz.community.mapper.NotificationMapper' mapperInterface
2020-02-12 10:40:56.723 DEBUG 12320 --- [main] o.m.s.mapper.ClassPathMapperScanner      : Enabling autowire by type for MapperFactoryBean with name 'notificationMapper'.
2020-02-12 10:40:56.725 DEBUG 12320 --- [main] o.m.s.mapper.ClassPathMapperScanner      : Creating MapperFactoryBean with name 'questionExtMapper' and 'cn.mycz.community.mapper.QuestionExtMapper' mapperInterface
2020-02-12 10:40:56.727 DEBUG 12320 --- [main] o.m.s.mapper.ClassPathMapperScanner      : Enabling autowire by type for MapperFactoryBean with name 'questionExtMapper'.
2020-02-12 10:40:56.727 DEBUG 12320 --- [main] o.m.s.mapper.ClassPathMapperScanner      : Creating MapperFactoryBean with name 'questionMapper' and 'cn.mycz.community.mapper.QuestionMapper' mapperInterface
2020-02-12 10:40:56.734 DEBUG 12320 --- [main] o.m.s.mapper.ClassPathMapperScanner      : Enabling autowire by type for MapperFactoryBean with name 'questionMapper'.
2020-02-12 10:40:56.735 DEBUG 12320 --- [main] o.m.s.mapper.ClassPathMapperScanner      : Creating MapperFactoryBean with name 'userMapper' and 'cn.mycz.community.mapper.UserMapper' mapperInterface
2020-02-12 10:40:56.735 DEBUG 12320 --- [main] o.m.s.mapper.ClassPathMapperScanner      : Enabling autowire by type for MapperFactoryBean with name 'userMapper'.
2020-02-12 10:40:57.028 DEBUG 12320 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'propertySourcesPlaceholderConfigurer'
2020-02-12 10:40:57.034 DEBUG 12320 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.test.mock.mockito.MockitoPostProcessor'
2020-02-12 10:40:57.043 DEBUG 12320 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.context.properties.ConfigurationPropertiesBeanDefinitionValidator'
2020-02-12 10:40:57.178 DEBUG 12320 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.context.event.internalEventListenerProcessor'
2020-02-12 10:40:57.179 DEBUG 12320 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'preserveErrorControllerTargetClassPostProcessor'
2020-02-12 10:40:57.180 DEBUG 12320 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.context.event.internalEventListenerFactory'
2020-02-12 10:40:57.180 DEBUG 12320 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.transaction.config.internalTransactionalEventListenerFactory'
2020-02-12 10:40:57.184 DEBUG 12320 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.test.mock.mockito.MockitoPostProcessor$SpyPostProcessor'
2020-02-12 10:40:57.185 DEBUG 12320 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.context.annotation.internalAutowiredAnnotationProcessor'
2020-02-12 10:40:57.186 DEBUG 12320 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.context.annotation.internalCommonAnnotationProcessor'
2020-02-12 10:40:57.190 DEBUG 12320 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.context.properties.ConfigurationPropertiesBindingPostProcessor'
2020-02-12 10:40:57.191 DEBUG 12320 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.context.internalConfigurationPropertiesBinder'
2020-02-12 10:40:57.192 DEBUG 12320 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.context.internalConfigurationPropertiesBinderFactory'
2020-02-12 10:40:57.195 DEBUG 12320 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'methodValidationPostProcessor'
2020-02-12 10:40:57.215 DEBUG 12320 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'methodValidationPostProcessor' via factory method to bean named 'environment'
2020-02-12 10:40:57.235 DEBUG 12320 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'dataSourceInitializerPostProcessor'
2020-02-12 10:40:57.241 DEBUG 12320 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'persistenceExceptionTranslationPostProcessor'
2020-02-12 10:40:57.245 DEBUG 12320 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'persistenceExceptionTranslationPostProcessor' via factory method to bean named 'environment'
2020-02-12 10:40:57.256 DEBUG 12320 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.aop.config.internalAutoProxyCreator'
2020-02-12 10:40:57.274 DEBUG 12320 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'webServerFactoryCustomizerBeanPostProcessor'
2020-02-12 10:40:57.279 DEBUG 12320 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'errorPageRegistrarBeanPostProcessor'
2020-02-12 10:40:57.287 DEBUG 12320 --- [main] o.s.u.c.s.UiApplicationContextUtils      : Unable to locate ThemeSource with name 'themeSource': using default [org.springframework.ui.context.support.ResourceBundleThemeSource@73044cdf]
2020-02-12 10:40:57.290 DEBUG 12320 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'communityApplication'
2020-02-12 10:40:57.297 DEBUG 12320 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
2020-02-12 10:40:57.298 DEBUG 12320 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration'
2020-02-12 10:40:57.312 DEBUG 12320 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'transactionAttributeSource'
2020-02-12 10:40:57.321 DEBUG 12320 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'transactionInterceptor'
2020-02-12 10:40:57.321 DEBUG 12320 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'transactionInterceptor' via factory method to bean named 'transactionAttributeSource'
2020-02-12 10:40:57.342 DEBUG 12320 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'org.springframework.transaction.config.internalTransactionAdvisor' via factory method to bean named 'transactionAttributeSource'
2020-02-12 10:40:57.342 DEBUG 12320 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'org.springframework.transaction.config.internalTransactionAdvisor' via factory method to bean named 'transactionInterceptor'
2020-02-12 10:40:57.354 DEBUG 12320 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'customizeExceptionHandler'
2020-02-12 10:40:57.358 DEBUG 12320 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'authorizeController'
2020-02-12 10:40:57.363 DEBUG 12320 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'githubProvider'
2020-02-12 10:40:57.367 DEBUG 12320 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'userMapper'
2020-02-12 10:40:57.374 DEBUG 12320 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'sqlSessionFactory'
